City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
370,Grindavik,IS,35.6,overcast clouds,63.84,-22.43,Northern Light Inn & Max's Restaurant
376,Yugorsk,RU,26.37,clear sky,61.31,63.33,Arkobaleno Mini-hotel
379,Riyadh,SA,62.6,clear sky,24.69,46.72,InterContinental Riyadh
381,Chancay,PE,64.4,overcast clouds,-11.57,-77.27,Hotel Madre Perla
382,Odesskoye,RU,35.94,overcast clouds,54.21,72.97,Hotel Madre Perla
383,Lokosovo,RU,27.55,overcast clouds,61.13,74.82,Hotel Madre Perla
384,Ricardo Palma,PE,64.4,overcast clouds,-11.92,-76.67,HOSTAL ELEGANCIA
386,Bengbu,CN,57.2,light rain,32.94,117.36,Howard Johnson Nanshan Plaza
387,Vestmanna,FO,44.6,scattered clouds,62.16,-7.17,Budget Guesthouse Borgustova
394,Vadso,NO,41.0,broken clouds,70.07,29.75,Scandic Vadsø
405,Nanortalik,GL,31.93,clear sky,60.14,-45.24,"NTS Rooms, Nanortalik"
406,Chimbote,PE,61.03,overcast clouds,-9.09,-78.58,Hotel Briliá
410,Tayshet,RU,28.31,overcast clouds,55.93,98.0,Biryusa
411,Pyshma,RU,29.32,clear sky,56.95,63.25,"Gostinitsa ""Postoyalyy Dvor"""
417,Priekule,LV,46.4,broken clouds,56.45,21.59,Cosy Cottage - Parka namiņš
419,Saint Anthony,US,36.0,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
421,Cowra,AU,60.01,clear sky,-33.83,148.68,Cowra Motor Inn
425,Hanko,FI,48.99,overcast clouds,59.83,22.95,Hotel Villa Maija
429,Naryan-Mar,RU,31.78,overcast clouds,67.67,53.09,Hostel Agat
430,Irbeyskoye,RU,31.51,overcast clouds,55.64,95.45,"Gostinitsa ""Agul"""
431,Ganzhou,CN,58.48,overcast clouds,28.82,115.43,Gold Jiao Hotel
433,Awjilah,LY,64.2,clear sky,29.11,21.29,Gold Jiao Hotel
434,Lalin,ES,62.6,broken clouds,42.72,-8.12,A Palleira De ROQUE
435,Moncada,ES,60.01,clear sky,39.55,-0.4,Hotel Mas Camarena
436,Sete,FR,53.6,mist,43.4,3.7,Hotel De Paris Sète
439,Dunedin,NZ,59.0,broken clouds,-45.87,170.5,Scenic Hotel Southern Cross
442,Marzuq,YE,58.86,clear sky,14.4,46.47,Scenic Hotel Southern Cross
444,Murmashi,RU,39.2,broken clouds,68.82,32.81,Airport Murmansk Hotel
446,Pingzhuang,CN,31.62,scattered clouds,42.04,119.29,Haoke Guest House
448,Beisfjord,NO,51.8,overcast clouds,68.38,17.6,Haoke Guest House
449,Lingyuan,CN,35.98,clear sky,41.24,119.4,Guomao Hotel
450,Lima,PE,64.4,overcast clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
456,Kamina,CD,64.56,scattered clouds,-8.74,24.99,Guest House la Grace
457,Grand Bank,CA,43.0,broken clouds,47.1,-55.77,Hotel Fortune
458,Vagay,RU,29.62,overcast clouds,57.94,69.02,Hotel Fortune
461,Vardo,NO,41.0,broken clouds,70.37,31.11,Vardø Hotel AS
462,Awbari,LY,59.81,clear sky,26.59,12.78,فندق أوباري
465,Siilinjarvi,FI,39.2,overcast clouds,63.08,27.67,Hotelli Sandels Oy
469,Itarare,BR,57.0,few clouds,-24.11,-49.33,Hospedaria Frei Caneca
470,Skjervoy,NO,47.44,overcast clouds,70.03,20.97,Skjervøy Byggeservice AS
473,Pavilosta,LV,46.4,overcast clouds,56.89,21.19,"Hotel ""Vēju paradīze"""
474,Reichenau,PL,54.0,overcast clouds,50.91,14.96,Rychło. Hotel
