City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
139,Aleksandrov Gay,RU,50.15,48.57,48.29,51,100,9.48,overcast clouds
140,Otradnoye,RU,59.78,30.82,48.2,87,20,4.47,few clouds
141,Sitka,US,57.05,-135.33,37.4,93,75,4.7,broken clouds
142,Rusera,IN,25.75,86.03,79.5,48,0,5.01,clear sky
143,Jining,CN,35.41,116.58,64.0,1,90,3.98,light rain
144,Gorontalo,ID,0.54,123.06,76.75,85,17,2.13,few clouds
145,Hamilton,US,39.18,-84.53,44.6,75,75,9.17,broken clouds
146,Liezen,AT,47.57,14.23,55.0,83,100,3.06,light rain
147,Ribeira Grande,PT,38.52,-28.7,69.8,88,75,24.16,broken clouds
148,Castro,BR,-24.79,-50.01,57.7,90,100,11.21,overcast clouds
149,Port Hardy,CA,50.7,-127.42,47.7,76,81,11.14,broken clouds
150,Roshni-Chu,RU,43.09,45.45,59.0,77,20,2.24,few clouds
151,Tautira,PF,-17.73,-149.15,78.01,78,20,3.36,few clouds
152,Ilulissat,GL,69.22,-51.1,17.6,61,40,3.36,scattered clouds
153,Benguela,AO,-12.58,13.41,73.4,69,75,4.7,broken clouds
154,Melilla,ES,35.29,-2.94,71.6,73,75,5.82,broken clouds
155,Bonthe,SL,7.53,-12.51,84.67,69,100,8.57,light rain
156,Williamsport,US,41.24,-77.0,42.01,80,90,3.36,overcast clouds
157,Svetlaya,RU,46.54,138.33,38.73,75,5,6.96,clear sky
158,Raudeberg,NO,61.99,5.14,55.4,81,75,20.8,moderate rain
159,Asfi,MA,32.3,-9.24,76.84,38,59,10.63,broken clouds
160,Akdepe,TM,42.06,59.38,51.8,32,0,6.93,clear sky
161,Taoudenni,ML,22.68,-3.98,92.88,11,100,11.81,overcast clouds
162,Hermanus,ZA,-34.42,19.23,66.0,51,0,3.0,clear sky
163,Pangai,TO,-19.8,-174.35,73.71,77,30,25.01,light rain
164,Georgetown,MY,5.41,100.34,82.4,83,20,2.04,few clouds
165,Mabiton,PH,12.83,123.26,82.58,77,100,7.61,overcast clouds
166,Chuy,UY,-33.7,-53.46,61.41,66,63,10.92,broken clouds
167,Riviere-Au-Renard,CA,49.0,-64.4,32.0,90,77,19.51,broken clouds
168,Greymouth,NZ,-42.47,171.2,55.4,96,98,8.5,light rain
169,Bandarbeyla,SO,9.49,50.81,80.55,77,85,15.05,overcast clouds
170,Kirovskiy,RU,45.09,133.51,34.81,89,67,4.14,broken clouds
171,Comodoro Rivadavia,AR,-45.87,-67.5,75.2,27,0,11.41,clear sky
172,Monduli,TZ,-3.3,36.45,77.0,50,75,11.41,broken clouds
173,Ullapool,GB,57.9,-5.16,46.0,63,27,8.01,scattered clouds
174,Skegness,GB,53.14,0.34,61.0,87,75,13.87,broken clouds
175,Nome,US,64.5,-165.41,12.2,85,90,4.12,overcast clouds
176,Kenai,US,60.55,-151.26,10.4,85,1,7.34,clear sky
177,Makinsk,KZ,52.63,70.42,31.42,97,0,6.02,clear sky
178,Tura,IN,25.52,90.22,72.82,82,0,4.0,clear sky
179,Ueckermunde,DE,53.74,14.04,50.0,100,75,9.17,mist
180,Carbonia,IT,39.17,8.52,72.0,56,20,13.87,few clouds
181,Namibe,AO,-15.2,12.15,75.67,70,5,13.65,clear sky
182,Watertown,US,42.37,-71.18,32.0,92,90,9.17,snow
183,Pevek,RU,69.7,170.31,23.11,92,81,9.69,broken clouds
184,Kloulklubed,PW,7.04,134.26,77.0,94,75,3.36,broken clouds
185,Riohacha,CO,11.54,-72.91,83.55,76,100,5.55,light rain
186,Fairbanks,US,64.84,-147.72,12.0,85,90,5.82,light snow
187,Madang,PG,-5.22,145.8,76.33,88,99,5.79,light rain
188,Skibbereen,IE,51.55,-9.27,51.8,66,75,2.24,broken clouds
189,Zdvinsk,RU,54.7,78.66,35.71,95,100,7.36,overcast clouds
190,Grajau,BR,-5.82,-46.14,93.58,49,81,3.87,broken clouds
191,Koumac,NC,-20.57,164.28,75.29,76,62,2.68,broken clouds
192,Dabola,GN,10.75,-11.12,88.2,33,53,6.38,broken clouds
193,Ayer Tawar,MY,4.3,100.75,78.44,84,94,1.72,overcast clouds
194,Kieta,PG,-6.22,155.63,77.23,84,100,4.59,light rain
195,Lompoc,US,34.64,-120.46,50.0,93,90,5.26,overcast clouds
196,Kaeo,NZ,-35.1,173.78,63.0,94,100,4.0,light rain
197,Shakhtinsk,KZ,49.71,72.59,26.6,86,0,6.71,clear sky
198,Petatlan,MX,17.52,-101.27,77.0,83,75,1.83,broken clouds
199,Moses Lake,US,47.13,-119.28,39.2,80,1,4.56,clear sky
200,Khatanga,RU,71.97,102.5,-8.61,84,0,5.46,clear sky
201,Erenhot,CN,43.65,111.98,52.27,39,100,29.55,overcast clouds
202,Arlit,NE,18.74,7.39,93.92,10,0,15.52,clear sky
203,Mtsensk,RU,53.28,36.57,46.33,73,98,2.95,overcast clouds
204,Narsaq,GL,60.92,-46.05,30.2,68,75,2.15,broken clouds
205,Zhezkazgan,KZ,47.8,67.71,42.6,54,0,4.12,clear sky
206,Linxia,CN,35.6,103.21,37.27,75,79,3.69,broken clouds
207,Biu,NG,10.61,12.19,93.07,18,0,8.16,clear sky
208,Bahraich,IN,27.58,81.6,69.01,72,0,8.01,clear sky
209,Perote,MX,19.57,-97.23,47.62,94,98,6.4,overcast clouds
210,Waipawa,NZ,-41.41,175.52,62.6,88,98,19.46,moderate rain
211,Cayenne,GF,4.93,-52.33,89.6,62,75,12.75,broken clouds
212,Luderitz,NA,-26.65,15.16,70.41,42,20,34.38,few clouds
213,Salalah,OM,17.02,54.09,82.4,61,0,5.82,clear sky
214,Passy,FR,45.92,6.69,64.4,55,0,3.36,clear sky
215,Bartica,GY,6.4,-58.62,87.8,66,75,13.87,broken clouds
216,Laguna,US,38.42,-121.42,42.8,81,1,3.0,clear sky
217,Faanui,PF,-16.48,-151.75,78.69,81,0,9.26,light rain
218,Tvoroyri,FO,61.56,-6.81,48.2,70,25,14.99,scattered clouds
219,Galabovo,BG,42.14,25.87,62.6,45,40,11.41,scattered clouds
220,Haines Junction,CA,60.75,-137.51,22.42,94,100,3.33,light snow
221,Danilovka,RU,50.36,44.12,46.65,74,100,12.21,light rain
222,Straumen,NO,63.87,11.3,48.2,57,0,24.16,clear sky
223,Burnie,AU,-41.07,145.92,51.01,77,38,4.0,scattered clouds
224,Clyde River,CA,70.47,-68.59,18.43,94,100,6.51,overcast clouds
225,Vila Do Maio,CV,15.13,-23.22,87.8,55,0,21.92,clear sky
226,Geraldton,AU,-28.77,114.6,68.0,88,0,5.82,clear sky
227,Scarborough,GB,54.28,-0.4,57.0,89,100,1.01,overcast clouds
228,Batagay,RU,67.63,134.63,-1.44,92,100,2.46,overcast clouds
229,Goure,NE,13.98,10.27,96.01,15,7,5.99,clear sky
230,Tasiilaq,GL,65.61,-37.64,32.0,98,75,5.82,light shower snow
231,Tucuman,AR,-26.82,-65.22,69.8,32,0,6.93,clear sky
232,Shubarshi,KZ,48.59,57.19,47.66,47,100,11.9,overcast clouds
233,Ola,RU,59.58,151.28,30.27,91,9,6.78,clear sky
234,Khorixas,NA,-20.37,14.97,90.18,26,90,3.98,light rain
235,Morehead,US,37.27,-87.18,46.4,65,1,8.05,clear sky
236,Vilyuysk,RU,63.76,121.62,-8.64,91,89,2.42,overcast clouds
237,Vega De Alatorre,MX,20.03,-96.63,71.37,66,27,15.61,scattered clouds
238,Henties Bay,NA,-22.12,14.28,62.01,76,0,16.49,clear sky
239,Sistranda,NO,63.73,8.83,48.2,61,20,19.46,few clouds
240,Inirida,CO,3.87,-67.92,85.68,73,98,2.39,light rain
241,Vienne,AT,48.21,16.37,57.0,82,20,13.87,light rain
242,General Cepeda,MX,25.38,-101.45,57.2,47,5,4.29,clear sky
243,Banjarmasin,ID,-3.32,114.59,79.54,84,31,4.74,scattered clouds
244,Kupang,ID,-10.17,123.58,81.18,75,59,6.78,broken clouds
245,Sao Filipe,CV,14.9,-24.5,84.52,53,99,11.25,overcast clouds
246,Dicabisagan,PH,17.08,122.42,78.93,81,61,14.29,light rain
247,Aswan,EG,24.09,32.91,97.0,10,0,5.1,clear sky
248,Harper,LR,4.38,-7.72,82.65,75,21,7.54,light rain
249,Maua,BR,-23.67,-46.46,64.4,88,90,10.29,light rain
250,Aldan,RU,58.6,125.39,6.57,95,96,2.91,overcast clouds
251,Kaitangata,NZ,-46.28,169.85,57.99,95,100,4.14,moderate rain
252,Sal Rei,CV,16.18,-22.92,84.2,66,0,27.51,clear sky
253,Alta Floresta,BR,-9.88,-56.09,77.0,94,75,4.7,moderate rain
254,San Patricio,US,28.02,-97.52,55.0,71,20,9.17,few clouds
255,Harnai,PK,30.1,67.94,62.37,27,0,0.85,clear sky
256,Horsham,GB,51.06,-0.33,59.0,93,75,11.41,heavy intensity drizzle
257,Christchurch,NZ,-43.53,172.63,61.0,76,94,3.36,overcast clouds
258,Celestun,MX,20.87,-90.4,76.84,87,99,14.58,light rain
259,Lazaro Cardenas,MX,17.96,-102.2,78.69,76,98,6.04,overcast clouds
260,Progreso,MX,21.28,-89.67,75.2,100,90,14.27,moderate rain
261,Zalantun,CN,48.0,122.72,36.75,75,100,1.07,overcast clouds
262,Shelburne,CA,44.08,-80.2,32.0,83,100,6.73,overcast clouds
263,Bilibino,RU,68.05,166.44,3.78,85,100,2.13,overcast clouds
264,Marawi,PH,8.0,124.29,78.01,93,85,3.0,light rain
265,Benjamin Constant,BR,-4.38,-70.03,86.0,74,40,3.94,scattered clouds
266,Maniitsoq,GL,65.42,-52.9,24.04,88,91,7.05,overcast clouds
267,Nizhnevartovsk,RU,60.93,76.55,30.2,100,90,4.47,mist
268,Neiafu,TO,-18.65,-173.98,73.4,73,40,11.41,scattered clouds
269,Xining,CN,36.62,101.77,39.07,67,42,6.62,scattered clouds
270,Santiago Del Estero,AR,-27.8,-64.26,66.76,32,84,8.3,broken clouds
271,Gravdal,NO,68.12,13.5,37.4,69,20,11.41,few clouds
272,Narayanpet,IN,16.73,77.5,77.05,59,4,5.75,clear sky
273,Ferme-Neuve,CA,46.7,-75.45,24.21,88,6,5.84,clear sky
274,Igarka,RU,67.47,86.58,5.52,93,100,12.17,overcast clouds
275,Paris,FR,48.85,2.35,62.01,77,90,9.17,overcast clouds
276,West Bay,KY,19.37,-81.42,86.0,79,20,5.82,few clouds
277,Riyadh,SA,24.69,46.72,82.4,18,0,5.82,clear sky
278,Victoria,HK,22.29,114.16,75.0,78,34,1.99,scattered clouds
279,Bantry,IE,51.68,-9.45,53.6,66,20,3.36,few clouds
280,Lagoa,PT,39.05,-27.98,68.77,86,99,34.72,overcast clouds
281,Cherskiy,RU,68.75,161.3,4.93,92,100,4.16,overcast clouds
282,San Policarpo,PH,12.18,125.51,82.45,82,100,15.35,overcast clouds
283,Craig,US,40.52,-107.55,28.4,85,1,5.06,clear sky
284,Gorin,RU,51.2,136.67,31.55,95,100,3.11,overcast clouds
285,Bayshore Gardens,US,27.43,-82.59,75.99,69,1,12.75,clear sky
286,Cozumel,MX,20.51,-86.95,82.4,88,40,6.93,scattered clouds
287,Richards Bay,ZA,-28.78,32.04,70.34,84,100,16.26,light rain
288,Torbay,CA,47.67,-52.73,35.01,47,68,3.0,broken clouds
289,Thinadhoo,MV,0.53,72.93,83.48,74,74,11.63,light rain
290,North Bend,US,43.41,-124.22,52.0,100,75,11.41,broken clouds
291,Shira,RU,54.49,89.95,29.97,91,86,11.68,overcast clouds
292,Coahuayana,MX,18.73,-103.68,73.4,78,75,1.72,broken clouds
293,Biak,ID,-0.91,122.88,79.43,76,82,3.49,light rain
294,Rosetta,EG,31.4,30.42,75.38,58,53,13.44,broken clouds
295,Praia Da Vitoria,PT,38.73,-27.07,71.6,78,20,29.42,few clouds
296,Khasan,RU,42.43,130.64,44.71,57,0,4.43,clear sky
297,Maxixe,MZ,-23.86,35.35,84.0,69,20,11.41,few clouds
298,Mikhaylovka,RU,50.06,43.24,48.96,69,93,8.63,overcast clouds
299,Mokhsogollokh,RU,61.47,128.92,-4.94,91,100,2.44,overcast clouds
300,Pacific Grove,US,36.62,-121.92,48.2,100,90,3.36,fog
301,Lasa,IT,46.62,10.7,60.01,37,5,5.82,clear sky
302,Avera,US,33.19,-82.53,59.0,71,1,12.75,clear sky
303,Muzaffarpur,IN,26.12,85.4,77.0,50,11,3.36,haze
304,Nisia Floresta,BR,-6.09,-35.21,86.0,58,40,17.22,scattered clouds
305,Bengkulu,ID,-3.8,102.27,77.36,86,100,4.76,light rain
306,Malanville,BJ,11.87,3.39,98.71,14,0,10.27,clear sky
307,Bafoulabe,ML,13.81,-10.83,101.01,9,26,10.09,scattered clouds
308,Kruisfontein,ZA,-34.0,24.73,62.01,63,59,5.01,broken clouds
309,Taree,AU,-31.9,152.47,64.4,88,75,6.24,broken clouds
310,Vaitape,PF,-16.52,-151.75,79.57,80,2,9.1,light rain
